seccion,g_etario,sexo,n,Localidad,pct,encuestas
1017,60 y más,MUJERES,166,NUEVO MILENIO SANTA CRUZ,0.10184049079754601,3
1025,18 a 24,HOMBRES,63,EJIDO EL PROGRESO,0.0665258711721225,2
1025,18 a 24,MUJERES,71,EJIDO EL PROGRESO,0.07497360084477296,2
1025,25 a 59,HOMBRES,315,EJIDO EL PROGRESO,0.3326293558606125,10
1025,25 a 59,MUJERES,304,EJIDO EL PROGRESO,0.32101372756071805,10
1025,60 y más,HOMBRES,102,EJIDO EL PROGRESO,0.10770855332629356,3
1025,60 y más,MUJERES,92,EJIDO EL PROGRESO,0.09714889123548047,3
1028,18 a 24,HOMBRES,109,EJIDO LA ESPERANZA (EL ZAPOTAL),0.0634828188701223,2
1028,18 a 24,MUJERES,151,EJIDO LA ESPERANZA (EL ZAPOTAL),0.08794408852649971,3
1028,25 a 59,HOMBRES,562,EJIDO LA ESPERANZA (EL ZAPOTAL),0.32731508444962143,10
1028,25 a 59,MUJERES,586,EJIDO LA ESPERANZA (EL ZAPOTAL),0.34129295282469424,10
1028,60 y más,HOMBRES,170,EJIDO LA ESPERANZA (EL ZAPOTAL),0.09900990099009901,3
1028,60 y más,MUJERES,139,EJIDO LA ESPERANZA (EL ZAPOTAL),0.0809551543389633,2
1053,18 a 24,HOMBRES,81,REFORMA,0.07692307692307693,2
1053,18 a 24,MUJERES,74,REFORMA,0.07027540360873694,2
1053,25 a 59,HOMBRES,324,REFORMA,0.3076923076923077,9
1053,25 a 59,MUJERES,378,REFORMA,0.358974358974359,11
1053,60 y más,HOMBRES,103,REFORMA,0.09781576448243115,3
1053,60 y más,MUJERES,93,REFORMA,0.08831908831908832,3
1059,18 a 24,HOMBRES,67,REFORMA,0.06175115207373272,2
1059,18 a 24,MUJERES,73,REFORMA,0.06728110599078341,2
1059,25 a 59,HOMBRES,358,REFORMA,0.32995391705069127,10
1059,25 a 59,MUJERES,404,REFORMA,0.3723502304147465,11
1059,60 y más,HOMBRES,82,REFORMA,0.07557603686635944,2
1059,60 y más,MUJERES,101,REFORMA,0.09308755760368663,3
