"seccion","g_etario","sexo","n","pct","enc.3","encuestas"
1731,"18 a 24","MUJERES",35282,0.07977046941627063,30,2
1731,"25 a 59","HOMBRES",141746,0.3204791383107164,30,10
1731,"25 a 59","MUJERES",162543,0.36749989825772,30,11
1731,"60 y más","HOMBRES",30357,0.06863534210276423,30,2
1731,"60 y más","MUJERES",37920,0.08573482796510919,30,3
8,"18 a 24","HOMBRES",148,0.09221183800623052,30,3
8,"18 a 24","MUJERES",138,0.08598130841121496,30,4
8,"25 a 59","HOMBRES",501,0.3121495327102804,30,9
8,"25 a 59","MUJERES",555,0.34579439252336447,30,10
8,"60 y más","HOMBRES",132,0.08224299065420561,30,2
8,"60 y más","MUJERES",131,0.08161993769470405,30,2
206,"18 a 24","HOMBRES",159,0.07977922729553437,32,3
206,"18 a 24","MUJERES",167,0.08379327646763673,32,3
206,"25 a 59","HOMBRES",649,0.3256397390868038,32,10
206,"25 a 59","MUJERES",681,0.34169593577521323,32,11
206,"60 y más","HOMBRES",158,0.079277471149021575,32,2
206,"60 y más","MUJERES",179,0.08981435022579026,32,3
207,"18 a 24","HOMBRES",228,0.08888888888888889,32,3
207,"18 a 24","MUJERES",202,0.07875243664717349,32,3
207,"25 a 59","HOMBRES",744,0.29005847953216374,32,8
207,"25 a 59","MUJERES",931,0.362962962962963,32,12
207,"60 y más","HOMBRES",217,0.08460038986354776,32,3
207,"60 y más","MUJERES",243,0.09473684210526316,32,3
247,"18 a 24","HOMBRES",56,0.05561072492552135,31,1
247,"18 a 24","MUJERES",61,0.0605759682224429,31,2
247,"25 a 59","HOMBRES",278,0.27606752730883816,31,9
247,"25 a 59","MUJERES",325,0.3227408142999007,31,10
247,"60 y más","HOMBRES",122,0.1211519364448858,31,4
247,"60 y más","MUJERES",165,0.16385302879841113,31,5
260,"18 a 24","HOMBRES",713,0.08865953742850037,31,2
260,"18 a 24","MUJERES",685,0.08517781646356627,31,3
260,"25 a 59","HOMBRES",2573,0.3199452872419796,31,10
260,"25 a 59","MUJERES",3126,0.388709276299428,31,12
260,"60 y más","HOMBRES",440,0.05471275802039294,31,2
260,"60 y más","MUJERES",505,0.0627953245461328,31,2
1115,"18 a 24","HOMBRES",298,0.12055016181229772,135,16
1115,"18 a 24","MUJERES",303,0.12257281553398058,135,17
1115,"25 a 59","HOMBRES",798,0.32281553398058255,135,44
1115,"25 a 59","MUJERES",836,0.33818770226537215,135,45
1115,"60 y más","HOMBRES",111,0.04490291262135922,135,6
1115,"60 y más","MUJERES",126,0.05097087378640776,135,7
610,"18 a 24","HOMBRES",273,0.09981718464351004,186,18
610,"18 a 24","MUJERES",259,0.0946983546617916,186,18
610,"25 a 59","HOMBRES",894,0.3268738574040219,186,61
610,"25 a 59","MUJERES",1008,0.3685557586837294,186,68
610,"60 y más","HOMBRES",158,0.05776965265082267,186,11
610,"60 y más","MUJERES",143,0.05228519195612431,186,10
638,"18 a 24","HOMBRES",83,0.07965451055662189,44,4
638,"18 a 24","MUJERES",87,0.08349328214971209,44,3
638,"25 a 59","HOMBRES",328,0.31477927063339733,44,14
638,"25 a 59","MUJERES",356,0.3416506717850288,44,15
638,"60 y más","HOMBRES",90,0.08637236084452975,44,4
638,"60 y más","MUJERES",98,0.09404990403071016,44,4
773,"18 a 24","HOMBRES",137,0.07974388824214203,142,12
773,"18 a 24","MUJERES",137,0.07974388824214203,142,11
773,"25 a 59","HOMBRES",547,0.31839348079161817,142,45
773,"25 a 59","MUJERES",586,0.3410942956926659,142,49
773,"60 y más","HOMBRES",151,0.08789289871944121,142,12
773,"60 y más","MUJERES",160,0.09313154831199068,142,13
815,"18 a 24","HOMBRES",383,0.09625534053782356,33,3
815,"18 a 24","MUJERES",440,0.11058054787635084,33,4
815,"25 a 59","HOMBRES",1240,0.311636089469716,33,9
815,"25 a 59","MUJERES",1527,0.3837647650163358,33,13
815,"60 y más","HOMBRES",182,0.04574013571249057,33,2
815,"60 y más","MUJERES",207,0.05202312138728324,33,2
816,"18 a 24","HOMBRES",967,0.10135205953254375,33,4
816,"18 a 24","MUJERES",1003,0.10512524892568911,33,3
816,"25 a 59","HOMBRES",2988,0.3131747196310659,33,11
816,"25 a 59","MUJERES",3725,0.3904202913740698,33,13
816,"60 y más","HOMBRES",431,0.04517346190126821,33,1
816,"60 y más","MUJERES",427,0.04475421863536317,33,1
819,"18 a 24","HOMBRES",464,0.09053658536585366,33,3
819,"18 a 24","MUJERES",555,0.10829268292682928,33,4
819,"25 a 59","HOMBRES",1588,0.30985365853658536,33,10
819,"25 a 59","MUJERES",1995,0.3892682926829269,33,13
819,"60 y más","HOMBRES",256,0.04995121951219512,33,2
819,"60 y más","MUJERES",267,0.05209756097560975,33,1
820,"18 a 24","HOMBRES",875,0.09809417040358744,33,3
820,"18 a 24","MUJERES",908,0.10179372197309416,33,3
820,"25 a 59","HOMBRES",2816,0.31569506726457397,33,10
820,"25 a 59","MUJERES",3481,0.3902466367713005,33,14
820,"60 y más","HOMBRES",396,0.04439461883408072,33,1
820,"60 y más","MUJERES",444,0.04977578475336323,33,2
949,"18 a 24","HOMBRES",623,0.09939374601148691,33,3
949,"18 a 24","MUJERES",602,0.09604339502233568,33,3
949,"25 a 59","HOMBRES",2039,0.32530312699425656,33,11
949,"25 a 59","MUJERES",2391,0.38146139119336314,33,13
949,"60 y más","HOMBRES",309,0.04929802169751117,33,2
949,"60 y más","MUJERES",304,0.04850031908104658,33,1
950,"18 a 24","HOMBRES",603,0.08871560982786524,33,3
950,"18 a 24","MUJERES",593,0.08724437251728703,33,3
950,"25 a 59","HOMBRES",2270,0.33397086950125054,33,11
950,"25 a 59","MUJERES",2603,0.3829630719435045,33,13
950,"60 y más","HOMBRES",369,0.05428865676033544,33,1
950,"60 y más","MUJERES",359,0.05281741944975724,33,2
1054,"18 a 24","HOMBRES",53,0.05961754780652419,30,2
1054,"18 a 24","MUJERES",55,0.06186726659167604,30,2
1054,"25 a 59","HOMBRES",319,0.35883014623172105,30,10
1054,"25 a 59","MUJERES",313,0.35208098987626546,30,11
1054,"60 y más","HOMBRES",79,0.08886389201349831,30,3
1054,"60 y más","MUJERES",70,0.07874015748031496,30,2
1055,"18 a 24","HOMBRES",67,0.06646825396825397,30,2
1055,"18 a 24","MUJERES",75,0.0744047619047619,30,2
1055,"25 a 59","HOMBRES",317,0.314484126984127,30,9
1055,"25 a 59","MUJERES",349,0.3462301587301587,30,11
1055,"60 y más","HOMBRES",90,0.08928571428571429,30,3
1055,"60 y más","MUJERES",110,0.10912698412698411,30,3
1060,"18 a 24","HOMBRES",150,0.08282716731087797,30,3
1060,"18 a 24","MUJERES",139,0.07675317504141359,30,2
1060,"25 a 59","HOMBRES",572,0.315847598012148,30,10
1060,"25 a 59","MUJERES",671,0.37051352843732743,30,11
1060,"60 y más","HOMBRES",138,0.07620099392600774,30,2
1060,"60 y más","MUJERES",141,0.07785753727222529,30,2
1061,"18 a 24","HOMBRES",94,0.07859531772575251,30,3
1061,"18 a 24","MUJERES",93,0.07775919732441472,30,2
1061,"25 a 59","HOMBRES",401,0.33528428093645485,30,10
1061,"25 a 59","MUJERES",402,0.33612040133779264,30,10
1061,"60 y más","HOMBRES",98,0.08193979933110368,30,2
1061,"60 y más","MUJERES",108,0.0903010033444816,30,3
837,"18 a 24","HOMBRES",241,0.10370051635111877,164,17
837,"18 a 24","MUJERES",240,0.10327022375215146,164,17
837,"25 a 59","HOMBRES",753,0.3240103270223752,164,53
837,"25 a 59","MUJERES",802,0.34509466437177283,164,56
837,"60 y más","HOMBRES",135,0.05808950086058519,164,10
837,"60 y más","MUJERES",153,0.06583476764199656,164,11
1118,"18 a 24","HOMBRES",114,0.07383419689119171,34,3
1118,"18 a 24","MUJERES",129,0.08354922279792747,34,3
1118,"25 a 59","HOMBRES",499,0.3231865284974093,34,11
1118,"25 a 59","MUJERES",614,0.39766839378238344,34,14
1118,"60 y más","HOMBRES",85,0.05505181347150259,34,1
1118,"60 y más","MUJERES",103,0.0667098445595855,34,2
1294,"18 a 24","HOMBRES",157,0.09251620506776664,31,3
1294,"18 a 24","MUJERES",113,0.06658809664113141,31,2
1294,"25 a 59","HOMBRES",495,0.29169121979964646,31,8
1294,"25 a 59","MUJERES",588,0.3464938126104891,31,11
1294,"60 y más","HOMBRES",142,0.08367707719505009,31,3
1294,"60 y más","MUJERES",202,0.11903358868591632,31,4
1316,"18 a 24","HOMBRES",22,0.05583756345177665,31,2
1316,"18 a 24","MUJERES",25,0.06345177664974619,31,2
1316,"25 a 59","HOMBRES",114,0.2893401015228426,31,8
1316,"25 a 59","MUJERES",125,0.31725888324873097,31,10
